#ID_RSSD,CIK,NM_LGL
1046975,748467,"CITICORP SECURITIES SERVICES, INC."
1032389,853784,HSBC SECURITIES (USA) INC.
1034721,278331,RIDGE CLEARING & OUTSOURCING SOLUTIONS INC.
1026641,87634,"CHARLES SCHWAB & CO., INC."
1070635,738602,"RED CAPITAL MARKETS, LLC"
1088078,310695,"NORTHERN TRUST SECURITIES, INC."
1146316,851376,BARCLAYS CAPITAL INC.
1147340,783344,"COMMERCE BROKERAGE SERVICES, INC."
1148637,776021,"SYNOVUS SECURITIES, INC."
1153314,780789,"UMB FINANCIAL SERVICES, INC."
1155420,782124,J.P. MORGAN SECURITIES LLC
1155952,785701,"FROST BROKERAGE SERVICES, INC."
1380240,785069,"BNY MELLON CAPITAL MARKETS, LLC"
1386103,786397,"TRUIST INVESTMENT SERVICES, INC."
1459100,1551017,TD PRIVATE CLIENT WEALTH LLC
1465978,786671,"BOK FINANCIAL SECURITIES, INC."
1440528,42352,GOLDMAN SACHS & CO. LLC
1440546,107921,MORGAN STANLEY DW INC.
1440715,74654,CIBC WORLD MARKETS CORP.
1422841,36797,"FIRST OPTIONS OF CHICAGO, INC."
1599109,895502,"RBC CAPITAL MARKETS, LLC"
1599239,68110,"MORGAN KEEGAN & COMPANY, LLC"
1599378,94074,STEPHENS INC.
1599408,1060915,"WESTCAP SECURITIES, INC."
1573239,68136,MORGAN STANLEY & CO. LLC
1607237,26617,DAIWA CAPITAL MARKETS AMERICA INC.
1647345,33738,CREDIT AGRICOLE SECURITIES (USA) INC.
1622043,724743,"RAYMOND JAMES & ASSOCIATES, INC."
1661480,786393,"U.S. BANCORP INVESTMENTS, INC."
1568842,29648,PERSHING LLC
1630365,822378,"J.P. MORGAN ALTERNATIVE ASSET MANAGEMENT, INC."
1851106,808379,NATWEST MARKETS SECURITIES INC.
1833577,812291,MIZUHO SECURITIES USA LLC
1900666,58056,DEUTSCHE BANK SECURITIES INC.
1839588,803012,TD SECURITIES (USA) LLC
1839841,64241,SCOTIA CAPITAL (USA) INC.
1908448,20502,"ASSOCIATED INVESTMENT SERVICES, INC."
1842645,719538,"PEOPLE'S SECURITIES, INC."
1896479,784089,"BESSEMER INVESTOR SERVICES, INC."
1917673,846655,"PFM, INC."
1989317,879857,"BANKOH INVESTMENT SERVICES, INC."
2017226,783343,FIDELITY INVESTMENTS INSTITUTIONAL SERVICES
1990005,200565,UBS FINANCIAL SERVICES INC.
1967986,881500,"BRENTON INVESTMENTS, INC."
2046020,200403,JEFFERIES LLC
2025904,867626,MUFG SECURITIES AMERICAS INC.
2000497,826606,"DIRECTED SERVICES, INC."
2121187,277841,"TD AMERITRADE, INC."
2072962,883923,COUNTRY CLUB FINANCIAL SERVICES
2170822,875890,"SMBC NIKKO SECURITIES AMERICA, INC."
2172086,1051487,"FIRST CITIZENS INVESTOR SERVICES, INC."
2206301,920789,"RBC CENTURA SECURITIES, INC."
2303956,931371,SANTANDER INVESTMENT SECURITIES INC.
2211499,873360,"ACCI SECURITIES, INC."
2226251,703850,"MORGAN LEWIS GITHENS & AHN, INC."
2355562,1002603,"CITIZENS SECURITIES, INC."
2311326,753835,BNP PARIBAS SECURITIES CORP.
2231947,922070,ALERUS SECURITIES CORPORATION
2243221,277871,BNY MELLON SECURITIES CORPORATION
2386753,65073,ICAP CORPORATES LLC
2293888,891055,HILLTOP SECURITIES INC.
2391579,933055,"CAL FP (US), INC."
2502722,869728,MAYBANK KIM ENG SECURITIES USA INC.
2379326,28471,DEVELOPMENT CORPORATION FOR ISRAEL
2397601,791540,"NBC SECURITIES, INC."
2381329,876691,CAISSE DES DEPOTS SECURITIES INC
2381422,820819,COMMONWEALTH ASSOCIATES
2381909,78804,MACALLASTER PITFIELD MACKAY INC.
2485562,702078,"IFC HOLDINGS, INC."
2485768,766909,"INVESTMENT CENTERS OF AMERICA, INC."
2383145,891055,SWS SECURITIES
2487285,1036129,INSTINET CORPORATION
2462910,945039,"HANDELSBANKEN MARKETS SECURITIES, INC."
2384647,724391,KEYBANC CAPITAL MARKETS INC.
2384713,73956,"FIFTH THIRD SECURITIES, INC."
2384991,877559,ING FINANCIAL MARKETS LLC
2385541,748704,MUTUAL OF AMERICA LIFE INSURANCE COMPANY
2443106,311713,CANTELLA & COMPANY INCORPORATED
2385840,225412,OSCAR GRUSS & SON INCORPORATED
2491349,36793,"TD AMERITRADE CLEARING, INC."
2464558,1301207,BANCO DO BRASIL SECURITIES LLC
2563563,926388,"ANZ SECURITIES, INC."
2527677,1647978,"CITIZENS CAPITAL MARKETS, INC."
2616786,932690,"DWS DISTRIBUTORS, INC."
2592844,865838,BBVA SECURITIES INC.
2567226,76964,"AMERICAN TRUST INVESTMENT SERVICES, INC."
2624204,1039235,"WESBANCO SECURITIES, INC."
2653099,33246,"TRUIST SECURITIES, INC."
2630577,1023990,COMMERZ MARKETS LLC
2685483,107239,TD WEALTH MANAGEMENT SERVICES INC
2754521,91154,CITIGROUP GLOBAL MARKETS INC.
2754727,354497,PFS INVESTMENTS INC.
2759227,99436,"TOWER SQUARE SECURITIES, INC."
2761565,1038032,"J.P. TURNER & COMPANY, L.L.C."
2718484,917380,CONVERGEX EXECUTION SOLUTIONS LLC
2696809,312325,"CREDIT AGRICOLE CHEUVREUX NORTH AMERICA, INC."
2794714,35606,"GIRARD INVESTMENT SERVICES, LLC"
2698456,1014785,"MAM SECURITIES, LLC"
2768069,810882,INTESA SANPAOLO IMI SECURITIES CORP.
2768359,1015707,B-TRADE SERVICES LLC
2746795,883499,ORIENTAL FINANCIAL SERVICES LLC
2771591,880736,"N. B. & T. SECURITIES CORP., II"
2837545,885750,"STATE STREET GLOBAL ADVISORS FUNDS DISTRIBUTORS, LLC"
2777249,1073299,FHN FINANCIAL SECURITIES CORP
2777632,1060914,"CHITTENDEN SECURITIES, LLC"
2909291,1048281,"CAPITAL ONE SECURITIES, INC."
2931377,1090474,SAFRA SECURITIES LLC
2932002,1105968,CREDIT SUISSE CAPITAL LLC
2832438,1099485,J.P. MORGAN INSTITUTIONAL INVESTMENTS INC.
2843005,1059369,"FIRST GRAHAM SECURITIES, INC."
2913186,812539,"HAVERFORD TRUST SECURITIES, INC"
2868080,93937,"MILLER JOHNSON & KUEHN, INC."
2937744,84940,ROOSEVELT EQUITY CORPORATION
2917326,1060033,NATEXIS SECURITIES
2917670,44010,"M. GRIFFITH, INC."
2961749,877810,"GULFSTAR GROUP I, LTD"
2918109,203542,CITISTREET EQUITIES LLC
2918190,28601,CITISTREET ADVISORS LLC
2918828,1077349,KBC SECURITIES USA LLC
2942784,1117233,SIGNATURE SECURITIES GROUP CORPORATION
2897585,1102926,"CITY NATIONAL SECURITIES, INC."
2878454,879018,E*TRADE SECURITIES
2922834,1098157,REDIBOOK ECN LLC
2879796,1117248,"JPMORGAN DISTRIBUTION SERVICES, INC."
2923925,1083675,DZ FINANCIAL MARKETS LLC
2853974,1022465,UBS FUND SERVICES (USA) LLC
2854476,1074463,"COMMUNITY INVESTMENT SERVICES, INC."
2984252,314871,"AUTRANET, LLC"
3027941,1111181,"IPO.COM SECURITIES, INC."
3005257,1128122,LEUMI INVESTMENT SERVICES INC.
3005510,926544,PERSHING ADVISOR SOLUTIONS LLC
2974628,67037,UBS ASSET MANAGEMENT (US) INC.
3028715,858783,"UMB DISTRIBUTION SERVICES, LLC"
3029833,719195,PEGASUS CAPITAL CORPORATION
3029851,852412,"FRIEDMAN, BILLINGS, RAMSEY & CO., INC."
3029879,1040917,"FBR INVESTMENT SERVICES, INC."
3008995,1128236,IDB CAPITAL CORP.
3032477,22382,COMMERCE SECURITIES CORPORATION
3010055,1123462,"CLARITY SECURITIES, INC."
3102950,1146119,"FIRST NATIONAL CAPITAL MARKETS, INC."
3051731,770356,"FIRST STATE FINANCIAL MANAGEMENT, INC"
3039328,1146358,EQUILEND LLC
3054228,737259,TCW FUNDS DISTRIBUTORS
3146468,1077686,"COLDSTREAM SECURITIES, INC."
3055908,25867,"CROWELL, WEEDON & CO."
3088399,895112,"GATEWAY INVESTMENT SERVICES, INC."
3089819,1139917,TRADINGSCREEN INC.
3057827,871375,"WYSER-PRATTE & COMPANY, INC."
3058132,355415,BIDWELL & COMPANY
3058150,63414,MAY FINANCIAL CORPORATION
3119350,205978,"BROWN DIRECT, INC."
3132582,933078,ASSETMARK CAPITAL CORPORATION
3094783,1142175,DANSKE MARKETS INC.
3132612,835587,NATIONAL BANK OF CANADA FINANCIAL INC.
3171291,900903,SHINHAN INVESTMENT AMERICA INC.
3172524,791138,"GLEN RAUCH SECURITIES, INC."
3023859,1121895,NBGI SECURITIES INC.
3162945,742218,FORTIS SECURITIES INC.
3162972,1145732,SKY CAPITAL LLC
3064405,1146222,"AMERANT INVESTMENTS, INC."
3178843,1178863,"CREDICORP CAPITAL SECURITIES, INC."
3025273,1121185,"E.S. FINANCIAL SERVICES, INC."
3140484,858666,"PENSON FINANCIAL SERVICES, INC"
3165955,754649,"WALNUT STREET SECURITIES, INC."
3066324,946633,"KEMPEN & CO U.S.A., INC."
3027204,822747,PATAGON.COM SECURITIES CORP.
3183294,1182014,"RABO SECURITIES USA, INC."
3169449,934682,"FREEDOM INVESTMENTS, INC."
3204407,276523,"WELLS FARGO SECURITIES, LLC"
3269518,928873,DUFF & PHELPS SECURITIES LLC
3269554,1021476,"EXANE, INC."
3146093,773388,"FINTEGRA, LLC"
3206401,772028,BMO CAPITAL MARKETS CORP.
3243910,1121251,GRAMERCY FINANCIAL SERVICES LLC
3292945,856380,ALLIANZ GLOBAL INVESTORS DISTRIBUTORS LLC
3294181,69596,"ALLIANZ LIFE FINANCIAL SERVICES, LLC"
3249538,1177389,UFG (US) INC.
3276404,278145,CAPMARK SECURITIES INC.
3222139,880567,"BANCWEST INVESTMENT SERVICES, INC."
3213780,275505,"MARQUETTE INVESTMENT SERVICES, INC."
3223734,1266732,PNC INVESTMENTS LLC
3223949,55193,"INVESTORS BROKERAGE SERVICES, INC."
3255360,741591,ALPINE SECURITIES CORP
3224021,866069,PMG SECURITIES CORPORATION
3195121,789481,"WINTON ASSOCIATES, INC."
3255874,17872,CARR SECURITIES CORPORATION
3255968,20626,CITY SECURITIES CORPORATION
3256611,46392,"HAZLETT, BURT & WATSON, INC."
3256684,48809,"HOWE BARNES INVESTMENTS, INC."
3256714,216351,HUNTLEIGH SECURITIES CORPORATION
3256844,314774,"KOONCE SECURITIES, INC."
3257588,745401,"PRIMEVEST FINANCIAL SERVICES, INC."
3257663,90108,"RICHARDS, MERRILL & PETERSON, INC."
3257805,200724,"SMITH, MOORE & CO."
3257850,95850,SWENEY CARTWRIGHT & CO.
3257980,720750,WILLIAM R. HOUGH & CO.
3349483,1307977,"WELLS FARGO FUNDS DISTRIBUTOR, LLC"
3287156,45290,"SIGNATOR INVESTORS, INC."
3324903,890599,"WOORI INVESTMENT & SECURITIES AMERICA, INC."
3260711,814660,"PERELMAN-CARLEY & ASSOCIATES, INC."
3260720,843321,"RAFFERTY CAPITAL MARKETS, LLC"
3260748,42602,GORDON & CO.
3260757,1146205,LEGENT CLEARING CORP
3260784,922113,GEORGE K. BAUM & COMPANY
3260805,10074,"BARR BROTHERS & CO., INC."
3260832,27135,DAVENPORT & COMPANY LLC
3260953,351591,"KELLNER, DILEO & CO."
3261071,872113,TULLETT LIBERTY SECURITIES INC
3261156,78017,PFLUEGER & BAERWALD INC.
3261165,107476,"WILSON-DAVIS & CO., INC."
3261240,949584,"ADVANTAGE TRADING GROUP, INC."
3261727,872796,TRADITION ASIEL SECURITIES INC
3262050,1169782,"TRIANGLE CAPITAL PARTNERS, LLC"
3230554,201310,"BROWNCO, LLC"
3262292,104021,"WACHTEL & CO., INC."
3315031,1304848,CITIGROUP DERIVATIVES MARKETS INC.
3263002,1103218,BONDDESK TRADING LLC
3263075,830530,J.A. GLYNN & CO.
3263105,70517,NATIONAL SECURITIES CORPORATION
3263123,772040,FORTIS CLEARING AMERICAS LLC
3263150,1073300,ONLINE SECURITIES INC
3263329,850150,USAA INVESTMENT SERVICES COMPANY
3357693,1320305,LAZARD CAPITAL MARKETS
3266768,1261467,"SG AMERICAS SECURITIES, LLC"
3266777,48966,"COWEN AND COMPANY, LLC"
3373563,88535,METLIFE INVESTORS DISTRIBUTION COMPANY
3268324,1225152,UOB GLOBAL EQUITY SALES LLC
3234712,278307,"JAMES BAKER & ASSOCIATES, A LIMITED PARTNERSHIP"
3379800,1332031,COMMONWEALTH AUSTRALIA SECURITIES LLC
3237133,1021478,SANTANDER SECURITIES LLC
3403200,1337819,"BMO HARRIS FINANCIAL ADVISORS, INC."
3240384,1245233,"DNB MARKETS, INC."
3387841,753864,WESTON SECURITIES CORPORATION
3499173,1058997,IAM CAPITAL CORPORATION
3487899,1303470,BOC INTERNATIONAL (USA) INC.
3547300,1021702,"LOOMIS SAYLES DISTRIBUTORS, L.P."
3547382,45726,HARRIS ASSOCIATES SECURITIES L.P.
3547391,910815,"NATIXIS DISTRIBUTION, L.P."
3547784,1345766,"NY CREDIT SECURITIES, LLC"
3548727,318181,PLANMEMBER SECURITIES CORPORATION
3549676,743231,"FIRST BANKERS' BANC SECURITIES, INC."
3597190,1344690,GRV SECURITIES LLC
3537794,935810,FANO & CO. JPM LLC
3598692,1009953,"GUGGENHEIM SECURITIES, LLC"
3622038,880014,ITG INC.
3559004,1146363,WAMU CAPITAL CORP.
3605657,825904,BGC FINANCIAL INC
3664104,1110644,"LIQUIDNET, INC."
3716777,909858,MAPLE SECURITIES U.S.A. INC.
3729142,790852,"ENSEMBLE FINANCIAL SERVICES, INC."
3819744,1383160,TRIPLE A PARTNERS LLC
3882485,33350,"EQUITY SERVICES, INC."
3697652,1012061,BLOOMBERG TRADEBOOK LLC
3915897,1127273,"FIRST REPUBLIC SECURITIES COMPANY, LLC"
3861257,1120007,ICICI SECURITIES INC.
3941430,1019122,CIT CAPITAL SECURITIES LLC
3931486,740938,COVENTRY CAPITAL
3966639,1019122,CIT CAPITAL SECURITIES LLC
4001470,932517,"MERCER ALLIED COMPANY, L.P."
3904613,944061,"SEAPOWER CARPENTER CAPITAL, INC."
3958241,887748,"FSB PREMIER WEALTH MANAGEMENT, INC."
3974764,886116,"MORGAN STANLEY DISTRIBUTION, INC."
4027274,1444934,"EXECUTION ACCESS, LLC"
4028721,1144126,"HARRIS WILLIAMS & CO., LTD."
4028758,1442140,"SABADELL SECURITIES USA, INC."
4059677,49303,"HUNTINGTON SECURITIES, INC."
3984839,1085407,"GOLDMAN SACHS FINANCIAL MARKETS, L.P."
4117090,841664,SAL. OPPENHEIM JR. & CIE. AG & CO. KOMMANDITGESELLSCHAFT AUF AKTIEN
3818091,1423882,GSP SECURITIES LLC
4040086,1354168,"BANCO VOTORANTIM SECURITIES, INC"
4130334,1471050,CREDIT SUISSE PRIME SECURITIES SERVICES (USA) LLC
4024385,920300,PRIME DEALER SERVICES CORP.
4048886,7470,NATIXIS SECURITIES AMERICAS LLC
4210254,1407522,ITAU INTERNATIONAL SECURITIES INC.
4158365,1465857,AMHERST PIERPONT SECURITIES LLC
4211671,1172098,HBK GLOBAL SECURITIES L.P.
4212164,1072332,THOMAS WEISEL PARTNERS LLC
4192323,1449091,"METROPOLITAN CAPITAL INVESTMENT BANC, INC"
4236731,46624,MF GLOBAL INC.
4165813,1289018,INDUSTRIAL AND COMMERCIAL BANK OF CHINA FINANCIAL SERVICES LLC
4300315,879018,E*TRADE SECURITIES LLC
4300418,1066306,"CAPITAL ONE INVESTING, LLC"
4244370,39059,TD PRIME SERVICES LLC
4251480,1496217,LLOYDS SECURITIES INC.
4284853,788704,MOMENTUM INDEPENDENT NETWORK INC.
4314134,1353057,"CARILLON FUND DISTRIBUTORS, INC."
4314349,882928,"TIAA-CREF INDIVIDUAL & INSTITUTIONAL SERVICES, LLC"
4289942,49709,"AMERIPRISE FINANCIAL SERVICES, LLC"
4291815,1347882,"RIVERSOURCE DISTRIBUTORS, INC."
4314880,52021,"RAYMOND JAMES FINANCIAL SERVICES, INC."
4315001,858523,RAYMOND JAMES (USA) LTD.
4292821,351106,"COLUMBIA MANAGEMENT INVESTMENT DISTRIBUTORS, INC."
4258827,1675367,"CITI PRIVATE ADVISORY, LLC"
4315065,1174927,"RAYMOND JAMES INSURANCE GROUP, INC."
4439493,1533318,REGIONS SECURITIES LLC
4481429,1535506,CCB INTERNATIONAL OVERSEAS (USA) INC.
4379928,875626,FIRST TRUST PORTFOLIOS L.P.
4420008,1553017,WESTPAC CAPITAL MARKETS LLC
4389271,318492,"EURO PACIFIC CAPITAL, INC"
4327086,798926,SURETY FINANCIAL SERVICES
4504627,1558345,"CLSA AMERICAS, LLC"
4433567,1304706,"WELLS FARGO PRIME SERVICES, LLC"
4396662,1072618,WASHINGTON SECURITIES CORPORATION
4476957,1116109,"MILLER BUCKFIRE & CO., LLC"
4517793,1567955,"CHXBD, LLC"
4585420,1469010,"FBV CAPITAL ADVISORS, INC."
4542393,1378145,VISION FINANCIAL MARKETS LLC
4550316,1522643,"CITIC SECURITIES INTERNATIONAL USA, LLC"
4554417,1356240,AIG SECURITIES LENDING CORP.
4557799,1350516,SYMPHONIC SECURITIES LLC
4558031,1343506,EBX LLC
4731236,866815,"SANDALWOOD SECURITIES, INC."
4716466,902913,FAR HILLS GROUP LLC
4675330,71110,NEUBERGER BERMAN BD LLC
4719869,1551018,HEDGEMARK SECURITIES LLC
4352583,50481,"INGALLS & SNYDER, LLC"
4720810,1611924,CHARTWELL TSC SECURITIES CORP
4743417,1276832,"CAPITAL DYNAMICS, INC."
4743565,1449651,MILLBURN RIDGEFIELD CORPORATION
4792022,890027,"PARK FINANCIAL GROUP, INC."
4748524,1057665,"CHARTER NEW ENGLAND AGENCY, INC"
4725477,1577928,"BCI SECURITIES, INC."
4758318,1389454,SOLEBURY CAPITAL LLC
4903024,1284170,PALAFOX TRADING LLC
4948865,915764,"EATON PARTNERS, LLC"
4909174,1493868,BLACKARCH SECURITIES LLC
4952947,1146205,AXOS CLEARING LLC
4775137,73387,"NUVEEN SECURITIES, LLC"
5048146,1415798,E*TRADE FUTURES LLC
5144543,708612,UBS FINANCIAL SERVICES INCORPORATED OF PUERTO RICO
5145942,850256,"AMUNDI DISTRIBUTOR US, INC."
5147179,1210783,"CENTRAL FIXED INCOME SERVICES, LLC"
5054101,1688905,"STATE STREET GLOBAL MARKETS, LLC"
5057474,917358,ICBC STANDARD SECURITIES INC.
5202162,1265074,"GENESIS CAPITAL, LLC"
5111385,100314,"TWEEDY, BROWNE COMPANY LLC"
5112588,1675365,"BOFA SECURITIES, INC."
5213252,278331,APEX CLEARING CORPORATION
5214156,1440162,"AUTOMATED EQUITY FINANCE MARKETS, INC."
5278644,1001382,KBFG SECURITIES AMERICA INC.
5078554,1657974,J.P. MORGAN PRIME INC.
5284131,1144126,HARRIS WILLIAMS & CO. CORPORATE FINANCE ADVISORS GMBH
5191819,1668087,"CRB SECURITIES, LLC"
5137684,1558805,HGI (USA) INVESTMENTS LLC
5343690,949896,SVB LEERINK LLC
5391721,1440163,SOLIUM FINANCIAL SERVICES LLC
5142026,1549519,"OCEAN FINANCIAL SERVICES, LLC"
5393903,1637543,"PNFP CAPITAL MARKETS, INC."
5398346,1748036,"SMBC NIKKO SECURITIES CANADA, LTD."
5312128,1296050,"CHARLES RIVER BROKERAGE, LLC"
5449529,1468061,MAINFIRST SECURITIES US INC.
5401424,1238958,MOORELAND PARTNERS LLC
5410172,819592,SANDERS MORRIS HARRIS LLC
5375374,1430112,"EAST WEST MARKETS, LLC"
5332948,1722517,SIMON MARKETS LLC
5420500,1449651,MILLBURN RIDGEFIELD CORPORATION
5334027,744360,"FIRST EMPIRE SECURITIES, INC."
5421990,1421505,SIXPOINT PARTNERS LLC
5335314,1498307,INTREPID INVESTMENT BANKERS LLC
5493719,1729875,NORDEA SECURITIES LLC
5428935,1067122,KIPPSDESANTO & COMPANY
5477081,1767248,MIZUHO SECURITIES CANADA INC.
5510670,1580959,"CLEARPOOL EXECUTION SERVICES, LLC"
5588307,50825,H2C SECURITIES INC
5589005,935544,"EATON VANCE DISTRIBUTORS, INC."
5515031,1086853,BROKERTEC AMERICAS LLC
5595556,1571558,"FINANCO SECURITIES, LLC"
5555439,811093,BAC FLORIDA INVESTMENTS CORP.
5015317,870866,"PJ SOLOMON SECURITIES, LLC"
5023620,1330763,ALLY INVEST SECURITIES LLC
230384,806710,CONSOLIDATED FINANCIAL
180238,759545,CITICORP FINANCIAL SERVICES CORPORATION
182577,1133485,HARPETH S&LA
401465,1146222,COMMERCEBANK
496470,832692,STONEWALL S&LA OF LINDEN NJ
769370,1020987,FIRST SECURITY FINANCIAL
1032361,41310,HSBC BROKERAGE (USA) INC.
1022166,705595,FIRST HERITAGE CORPORATION
1039182,806135,J.P. MORGAN SECURITIES INC.
1026614,842369,"BANC OF AMERICA FINANCE SERVICES, INC."
1045914,1025943,"CGI CAPITAL, INC."
1078547,780423,"BBVA COMPASS INVESTMENT SOLUTIONS, INC."
1078668,752597,"AMSOUTH INVESTMENT SERVICES, INC."
1101436,275109,INTERFIRST CAPITAL CORPORATION
1140828,748358,LAWSON FINANCIAL CORPORATION
1146464,714352,WESTMINSTER RESEARCH ASSOCIATES LLC
1149344,783945,FIRST CLEARING CORPORATION
1152344,779076,BANC ONE SECURITIES CORPORATION
1152997,752077,"PNC CAPITAL MARKETS, INC."
1154599,790482,"ZIONS DIRECT, INC."
1249132,17140,"CAPITAL DIRECTIONS, INC."
1194429,806038,"FNB BROKERAGE SERVICES, INC."
1195275,765521,"BANC OF AMERICA INVESTMENT SERVICES, INC."
1256822,17225,CAPITAL INVESTMENTS INC
1306183,727064,REPUBLIC SECURITIES & INVESTMENT TRUST
1260502,823140,"AMERICAN INVESTMENT SERVICES, INC."
1336733,319562,"FINANCIAL PLANNING CONSULTANTS, INC."
1370456,837922,"BANC ONE CAPITAL MARKETS, INC."
1311981,856644,FUND MANAGEMENT COMPANY
1423389,819097,"LASALLE FINANCIAL SERVICES, INC."
1380455,73956,"FIFTH THIRD SECURITIES, INC."
1380156,894381,HUNTINGTON CAPITAL CORP.
1383036,61008,"LYNCH, JONES & RYAN"
